flag_id,date,category,severity,action,reviewer_id,resolution_hrs,ml_score,coordinated_flag,attack_id
F000001,2024-01-01,harassment,medium,human_review,REV019,4.1,0.8531,False,
F000002,2024-01-01,harassment,low,allow,REV002,50.5,0.8157,False,
F000003,2024-01-01,harassment,medium,downrank,REV001,0.0,0.8394,False,
F000004,2024-01-01,harassment,low,allow,REV010,45.4,0.7738,False,
F000005,2024-01-01,harassment,low,allow,REV015,12.7,0.8319,False,
F000006,2024-01-01,harassment,medium,human_review,REV007,47.2,0.8588,False,
F000007,2024-01-01,harassment,low,downrank,REV014,142.7,0.8778,False,
F000008,2024-01-01,harassment,high,auto_block,REV007,9.3,0.8746,False,
F000009,2024-01-01,harassment,medium,downrank,REV017,4.6,0.8282,False,
F000010,2024-01-01,harassment,low,allow,REV018,38.0,0.8704,False,
F000011,2024-01-01,harassment,medium,downrank,REV014,54.1,0.762,False,
F000012,2024-01-01,harassment,medium,human_review,REV016,78.0,0.8993,False,
F000013,2024-01-01,harassment,medium,human_review,REV013,21.2,0.9928,False,
F000014,2024-01-01,harassment,low,allow,REV011,0.3,0.8262,False,
F000015,2024-01-01,harassment,low,allow,REV005,75.0,0.8906,False,
F000016,2024-01-01,harassment,high,human_review,REV005,7.4,0.8152,False,
F000017,2024-01-01,harassment,medium,downrank,REV001,52.4,0.8544,False,
F000018,2024-01-01,harassment,low,allow,REV014,12.9,0.8834,False,
F000019,2024-01-01,harassment,medium,human_review,REV010,13.4,0.8968,False,
F000020,2024-01-01,harassment,low,downrank,REV004,39.8,0.857,False,
F000021,2024-01-01,harassment,high,auto_block,REV011,8.5,0.9081,False,
F000022,2024-01-01,harassment,low,allow,REV010,102.0,0.9411,False,
F000023,2024-01-01,harassment,high,human_review,REV012,32.8,0.9012,False,
F000024,2024-01-01,harassment,low,allow,REV007,108.7,0.9286,False,
F000025,2024-01-01,harassment,high,auto_block,REV020,16.7,0.8688,False,
F000026,2024-01-01,harassment,low,downrank,REV001,31.8,0.8664,False,
F000027,2024-01-01,harassment,low,downrank,REV009,137.4,0.7975,False,
F000028,2024-01-01,harassment,low,downrank,REV003,57.2,0.8177,False,
F000029,2024-01-01,harassment,low,downrank,REV017,1.8,0.8189,False,
F000030,2024-01-01,harassment,critical,auto_block,REV002,8.0,0.856,False,
F000031,2024-01-01,harassment,medium,human_review,REV004,19.3,0.8479,False,
F000032,2024-01-01,harassment,low,downrank,REV002,30.5,0.8964,False,
F000033,2024-01-01,harassment,medium,human_review,REV001,2.3,0.829,False,
F000034,2024-01-01,harassment,low,allow,REV004,18.9,0.8995,False,
F000035,2024-01-01,harassment,low,allow,REV007,12.3,0.8816,False,
F000036,2024-01-01,harassment,low,allow,REV018,7.1,0.891,False,
F000037,2024-01-01,harassment,high,human_review,REV016,4.8,0.852,False,
F000038,2024-01-01,harassment,high,human_review,REV012,1.6,0.7796,False,
F000039,2024-01-01,harassment,medium,downrank,REV009,5.0,0.8692,False,
F000040,2024-01-01,harassment,low,allow,REV008,4.2,0.8909,False,
F000041,2024-01-01,harassment,medium,downrank,REV016,20.9,0.9209,False,
F000042,2024-01-01,harassment,low,allow,REV009,50.7,0.9533,False,
F000043,2024-01-01,harassment,low,downrank,REV016,32.7,0.8837,False,
F000044,2024-01-01,harassment,medium,downrank,REV012,20.2,0.8812,False,
F000045,2024-01-01,harassment,medium,downrank,REV006,6.9,0.907,False,
F000046,2024-01-01,harassment,critical,auto_block,REV001,3.4,0.853,False,
F000047,2024-01-01,harassment,medium,human_review,REV016,5.2,0.9036,False,
F000048,2024-01-01,harassment,low,downrank,REV014,135.4,0.8065,False,
F000049,2024-01-01,harassment,high,auto_block,REV017,0.2,0.8841,False,
F000050,2024-01-01,harassment,medium,human_review,REV003,7.5,0.8125,False,
F000051,2024-01-01,harassment,low,allow,REV003,132.1,0.8302,False,
F000052,2024-01-01,harassment,medium,human_review,REV017,50.4,0.8629,False,
F000053,2024-01-01,harassment,high,auto_block,REV007,19.7,0.8029,False,
F000054,2024-01-01,harassment,low,allow,REV007,117.3,0.8752,False,
F000055,2024-01-01,harassment,medium,downrank,REV014,25.2,0.8729,False,
F000056,2024-01-01,harassment,medium,downrank,REV019,2.4,0.8024,False,
F000057,2024-01-01,harassment,medium,human_review,REV017,8.1,0.785,False,
F000058,2024-01-01,harassment,low,allow,REV012,35.5,0.8153,False,
F000059,2024-01-01,harassment,critical,auto_block,REV020,14.8,0.8433,False,
F000060,2024-01-01,harassment,low,allow,REV005,27.3,0.8546,False,
F000061,2024-01-01,harassment,low,downrank,REV012,26.8,0.8357,False,
F000062,2024-01-01,harassment,low,downrank,REV016,38.2,0.8363,False,
F000063,2024-01-01,harassment,low,allow,REV007,48.8,0.8273,False,
F000064,2024-01-01,harassment,medium,human_review,REV014,3.1,0.8008,False,
F000065,2024-01-01,harassment,low,downrank,REV020,17.9,0.8714,False,
F000066,2024-01-01,harassment,low,downrank,REV005,20.4,0.895,False,
F000067,2024-01-01,harassment,low,allow,REV002,48.4,0.89,False,
F000068,2024-01-01,harassment,low,downrank,REV013,37.2,0.8601,False,
F000069,2024-01-01,harassment,low,downrank,REV017,49.4,0.8978,False,
F000070,2024-01-01,harassment,high,human_review,REV001,13.6,0.8904,False,
F000071,2024-01-01,harassment,medium,human_review,REV003,68.1,0.9116,False,
F000072,2024-01-01,harassment,high,human_review,REV014,3.9,0.8266,False,
F000073,2024-01-01,harassment,low,downrank,REV017,55.1,0.8166,False,
F000074,2024-01-01,harassment,medium,human_review,REV007,7.2,0.8038,False,
F000075,2024-01-01,harassment,low,allow,REV004,47.6,0.9241,False,
F000076,2024-01-01,harassment,low,allow,REV003,40.3,0.7492,False,
F000077,2024-01-01,harassment,critical,auto_block,REV007,3.7,0.9295,False,
F000078,2024-01-01,harassment,medium,downrank,REV003,27.3,0.7833,False,
F000079,2024-01-01,harassment,low,allow,REV016,33.8,0.8782,False,
F000080,2024-01-01,harassment,low,downrank,REV020,54.2,0.8796,False,
F000081,2024-01-01,harassment,medium,downrank,REV003,14.3,0.8538,False,
F000082,2024-01-01,harassment,medium,human_review,REV007,64.1,0.8429,False,
F000083,2024-01-01,harassment,critical,auto_block,REV011,10.7,0.8725,False,
F000084,2024-01-01,harassment,medium,downrank,REV006,48.4,0.9044,False,
F000085,2024-01-01,harassment,low,allow,REV018,3.6,0.8848,False,
F000086,2024-01-01,harassment,high,auto_block,REV013,13.9,0.7809,False,
F000087,2024-01-01,harassment,low,allow,REV013,141.2,0.864,False,
F000088,2024-01-01,harassment,medium,human_review,REV007,56.8,0.7581,False,
F000089,2024-01-01,harassment,low,downrank,REV020,24.9,0.9385,False,
F000090,2024-01-01,harassment,low,downrank,REV017,42.0,0.9236,False,
F000091,2024-01-01,harassment,low,allow,REV012,27.5,0.8985,False,
